bin_end,token_amount,recorded_notional_usd,record_count,low,high,price,observed,thin_bin,market_id,displacement_pp,rv_pp,jump_z,rv_z,baseline_ready,jump_alert,volatility_alert,alert,score
2024-12-21 21:25:00+00:00,418.18,19.83,35,0.047,0.048,0.047473695537806684,True,False,507300,-0.000743653766501623,0.005718692076904684,-0.010207044626465989,-0.016135220676700895,True,False,False,False,-0.010207044626465989
2024-12-21 21:30:00+00:00,328.0,15.59,31,0.047,0.048,0.047515243902439025,True,False,507300,-0.0009966181594586732,0.005526065211235987,-0.009572361884700037,-0.01658486288981209,True,False,False,False,-0.009572361884700037
2024-12-21 21:35:00+00:00,330.0,15.68,31,0.047,0.048,0.047487878787878794,True,False,507300,-0.001212121212120637,0.005627646781556287,-0.00927010973522796,-0.01631731126739769,True,False,False,False,-0.00927010973522796
2024-12-21 21:40:00+00:00,198.0,9.4,20,0.047,0.048,0.04755050505050506,True,False,507300,0.007680951269837394,0.007998227846873512,0.0037963043360574045,-0.011553004728149522,True,False,False,False,0.0037963043360574045
2024-12-21 21:45:00+00:00,433.4,20.580000000000002,33,0.047,0.048,0.04750000000000001,True,False,507300,-0.0015243902439017465,0.008498034120869425,-0.008388063759962039,-0.010530247771543981,True,False,False,False,-0.008388063759962039
2024-12-21 21:50:00+00:00,241.46,11.43,20,0.047,0.048,0.04738101548910792,True,False,507300,-0.01068632987708748,0.01436319001102505,0.010061536915640518,0.0012877573142843005,True,False,False,False,0.010061536915640518
2024-12-21 21:55:00+00:00,201.46,9.59,16,0.047,0.048,0.04764260895463119,True,False,507300,0.009210390412613123,0.029178624909892776,0.006983936577460714,0.03100632041753678,True,False,False,False,0.03100632041753678
2024-12-21 22:00:00+00:00,369.0,17.49,39,0.047,0.048,0.04740108401084011,True,False,507300,-0.009891598915989785,0.037539679475188395,0.008472074993445128,0.04775590776834226,True,False,False,False,0.04775590776834226
2024-12-21 22:05:00+00:00,377.0,17.919999999999998,32,0.047,0.048,0.04759681697612732,True,False,507300,0.02158014870193986,0.0406296484574851,0.03172345315611419,0.05390836751272143,True,False,False,False,0.05390836751272143
2024-12-21 22:10:00+00:00,2075.43,98.56,48,0.047,0.048,0.04748626549678862,True,False,507300,-0.015634345784257264,0.03299504837962555,0.019703093364897145,0.038551474051485304,True,False,False,False,0.038551474051485304
2024-12-21 22:15:00+00:00,406.0,19.31,36,0.047,0.048,0.04755911330049261,True,False,507300,0.01580292896525004,0.023630451918783584,0.019911505771030846,0.019734587824284337,True,False,False,False,0.019911505771030846
2024-12-21 22:20:00+00:00,277.0,13.14,28,0.047,0.048,0.04743321299638989,True,False,507300,-0.016360397973742835,0.018270007843903143,0.021015111069053877,0.00899055526590974,True,False,False,False,0.021015111069053877
2024-12-21 22:25:00+00:00,536.0,25.41,50,0.047,0.048,0.04745708955223881,True,False,507300,-0.0029175944549805766,0.014740345652955246,-0.005881828687433199,0.0019080864754002294,True,False,False,False,0.0019080864754002294
2024-12-21 22:30:00+00:00,440.0,20.95,39,0.047,0.048,0.04759318181818182,True,False,507300,0.0034068517689209155,0.01869280111215721,-0.004908810090883259,0.009748608912030353,True,False,False,False,0.009748608912030353
2024-12-21 22:35:00+00:00,323.0,15.3,28,0.047,0.048,0.04740866873065016,True,False,507300,-0.0024544265739730176,0.0230513067393532,-0.006819156512109792,0.018401231684648536,True,False,False,False,0.018401231684648536
2024-12-21 22:40:00+00:00,582.0,27.64,53,0.047,0.048,0.04750343642611684,True,False,507300,0.004634687387802816,0.02480868807979046,-0.0024531388531194576,0.021912577308280338,True,False,False,False,0.021912577308280338
2024-12-21 22:45:00+00:00,549.0,26.11,50,0.047,0.048,0.04750819672131148,True,False,507300,-0.008498509687034084,0.020748170036143286,0.005280001776673815,0.013788124163743268,True,False,False,False,0.013788124163743268
2024-12-21 22:50:00+00:00,426.0,20.25,40,0.047,0.048,0.04756572769953052,True,False,507300,0.015705896888035947,0.011096571528740396,0.0197061088976401,-0.005565226252423918,True,False,False,False,0.0197061088976401
2024-12-21 22:55:00+00:00,395.0,18.74,43,0.047,0.048,0.047437974683544305,True,False,507300,-0.006546174257253401,0.01401902527237667,0.0013979963550375674,0.0002295278334872239,True,False,False,False,0.0013979963550375674
2024-12-21 23:00:00+00:00,408.0,19.38,47,0.047,0.048,0.047546568627450984,True,False,507300,0.003837190613950603,0.01772661592115665,-0.004031303650530588,0.0076075098054840945,True,False,False,False,0.0076075098054840945
2024-12-21 23:05:00+00:00,502.0,23.81,35,0.047,0.048,0.047442231075697214,True,False,507300,-0.012349662383330517,0.019748367642099304,0.012982307169266682,0.01168821257293249,True,False,False,False,0.012982307169266682
2024-12-21 23:10:00+00:00,427.0,20.25,35,0.047,0.048,0.04746604215456675,True,False,507300,0.0028067471022442947,0.015246618259833528,-0.0061090194242365,0.002647514482837853,True,False,False,False,0.002647514482837853
2024-12-21 23:15:00+00:00,555.0,26.4,50,0.047,0.048,0.04755315315315315,True,False,507300,0.0006584525702166277,0.013799137022880147,-0.010400112456961097,-0.0002846473166319974,True,False,False,False,-0.0002846473166319974
2024-12-21 23:20:00+00:00,487.0,23.1,42,0.047,0.048,0.047470225872689946,True,False,507300,0.0027994796992732163,0.012260598434283057,-0.006123554230178657,-0.0034392890850067047,True,False,False,False,-0.0034392890850067047
